SN,TEST_NAME,sub_test_name,test_result,lower_limit,upper_limit,test_value,process,mapping_process,endtime,[station_id],[fixture_id]
FM7921201HRL82LCE22,259.S,259-P234.S,pass,0.205,0.515,0.291,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921201HRL82LCE22,259.S,259-P234.S,pass,0.205,0.515,0.291,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921202JPL82LCC22,274.S,274-03.S,pass,0.205,0.515,0.353,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79196007PL82JCN19,569.N,569.N,pass,0,0.155,0.048,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7919700GBL82JC619,094.L,094-S.L,pass,0.825,0.945,0.879,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914400B5M0XCEX13,A144.N,A144-LA06.N,pass,3.025,3.285,3.12,ump-t3,bd-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700LKM0XDEP13,A036.N,A036-UR.N,pass,-0.025,0.025,0,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79212002UL82JAX22,472.L,472-TN.L,pass,0.145,0.265,0.204,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791410029M0XDEN13,A147.N,A147-ML02.N,pass,3.975,4.235,4.101,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM792070028L82JC919,269.S,269.S,pass,0.615,1.025,0.783,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791410117M0XDES13,A035.N,A035-UR.N,pass,-0.025,0.025,0.002,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79207009CL82JCJ19,560.N,560-02.N,pass,1.315,1.385,1.348,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM791410117M0XDES13,A131.N,A131-B3.N,pass,7.145,7.455,12.925,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100BGL82JAH22,123.L,123-12.L,pass,0.01,0.22,0.119,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914401EZM0XCET13,A036.N,A036-UL.N,pass,-0.025,0.025,0.007,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700F6M0XDEH13,A109.N,A109-B2.N,pass,13.435,13.745,13.507,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700XDM0XDEW13,A224.Y,A224-O03.Y,pass,0.455,0.615,0.492,ump-t3,trim-sp-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM792110052L82JAF22,130.N,130.N,fail,1.805,1.855,1.858,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79136001RM0XDE713,A124.N,A124-B2.N,pass,32.235,32.645,32.784,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921300K4L82LCV22,234.N,234-10.N,pass,0.175,0.255,0.267,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700XDM0XDEW13,A022.N,A022-13.N,pass,-0.005,0.155,0.15,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM792120244L82LC522,123.L,123-12.L,pass,0.01,0.22,0.031,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791360040M0XDEP13,A224.Y,A224-M02.Y,pass,0.455,0.615,0.495,ump-t3,trim-sp-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM792130133L82LC922,641.S,641-06.S,pass,0.235,0.545,0.438,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791360040M0XDEP13,A326.Y,A326-M.Y,pass,0,0.065,0.006,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
